sku,qty,ref,val,vendor
A-959,1,C1 ,100uf,tayda
A-157,2,D1 D2 ,1N4148,tayda
A-2956,1,J1 ,europower,tayda
-,1,J11 ,mini-din8
A-853,3,J2 J4 J6 ,stereo_jack_3.5mm,tayda
A-300,1,J3 ,dsub9_socket,tayda
A-1010,2,J5 J7 ,din5,tayda
-,1,J8 ,bootloader
A-1324,2,J9 J10 ,jumper,tayda
A-2246,3,R1 R2 R3 ,220,tayda
-,1,R10 ,120
A-2203,4,R4 R5 R6 R7 ,10k,tayda
-,2,R8 R9 ,20k
A-5129,1,SW1 ,SW_Push_Dual,tayda
-,1,U1 ,ProMicro
A-712,1,U2 ,MAX485E,tayda
A-871,1,U3 ,6N137,tayda
A-882,1,U4 ,CD4069,tayda
-,1,U5 ,usbHostMini
A-492,1,U6 ,78L33,tayda
